id;codigo_obligacion;nombre;descripcion;fecha;valor_total;valor_periodo;nomero_periodos;periodo_actual;vigente;estado
1;Visionary Baby;Internal;Steel grow Bedfordshire;2020-01-19;92326;74325;66447;44161;true;PENDIENTE
2;Pine Incredible Plastic Pants blue;open-source;incremental;2020-01-19;59602;73143;62802;19746;true;PAGADO
3;Corners task-force;Liaison Pants;Pula;2020-01-18;4308;69322;940;15842;false;PENDIENTE
4;Games Mozambique;niches magenta Brook;mission-critical Viaduct;2020-01-19;53882;68659;85471;8016;true;PENDIENTE
5;wireless Concrete structure;B2B;navigating Shoes Michigan;2020-01-19;29393;7058;16147;43593;true;PAGADO
6;Brazil Synergized;teal;deposit RSS;2020-01-19;38267;76488;4368;19587;true;PENDIENTE
7;port;auxiliary Proactive;XSS ivory;2020-01-19;99903;5651;27216;74644;true;PENDIENTE
8;web-readiness invoice hardware;cross-platform navigate Automotive;efficient navigate middleware;2020-01-19;26461;54901;66705;68221;true;PAGADO
9;redefine bifurcated Incredible Metal Bike;Shoes standardization array;Orchestrator Zambia;2020-01-18;28000;27640;57063;92751;true;PAGADO
10;Iceland experiences Data;Shoes orchestration logistical;card Berkshire;2020-01-19;99903;88108;36079;63697;true;PAGADO
